,fldas_aet,gldas_aet,modis_aet,tc_aet,nldas_etr,gldas_etr,gmet_eto,gmet_etr,modis_pet,tc_pet,gldas_ssr,gldas_bfr,gldas_qsm,gldas,fldas_r,tc_r,p_prism,p_chirps,p_persiann,p_trmm,p_daymet,gldas_sm,tc_sm,gldas_m,fldas_swe,gldas_swe,storage_km3,q_out,aet_mean,p_mean,sm_mean,swe_mean,cv_pet_mean,et_eff,cvw_ds
2001-01-31,2.730632612000914,1.6766373667772556,2.2613046964059365,2.0957663742526256,4.699748281601371,3.506774329484904,3.928329223868169,5.994839946326733,6.857775456355588,2.2463272285862654,0.2197819427864528,0.5409080647661899,1.3393003637176433,2.099990371270286,0.6195018439576128,0.9995896490987922,16.21250538865039,15.53840183822654,15.682002462169647,15.958506293278251,16.885837695987032,37.692773099060815,13.772276204438388,16.114949692271402,1.8919558535202328,1.4305022175202027,23.92623341016,0.9259512333600001,2.1910852623591826,16.055450735662372,22.526666331923536,1.6612290355202177,0.6859555497956006,3.327719567675481,
2001-02-28,3.590684442365923,2.2911918133249545,2.006998543980826,2.436283554804356,4.925574133190615,3.807375594473023,4.327214017420562,6.100089175699072,4.349059128897457,2.6492544308340444,0.6051863762431525,1.5558303099955064,2.7843771971738507,4.9453938834125095,1.0707116642833059,3.3459895347842514,20.51520481783396,17.288990454292275,19.02018881848837,20.85296075536037,20.731258099600492,40.81000886047508,19.068586129048597,16.55963448212173,3.8779928495804312,3.066434814600659,25.57779405528,0.9341551088400001,2.581289588619015,19.681720589115095,25.4794098238818,3.472213832090545,0.7677468083281921,3.8707515471129526,8.461524999513552
2001-03-31,5.880269864644446,4.634496741935638,3.456160362535355,5.837531157554193,11.15426029526628,9.61222809915921,8.701455992090004,11.47226329793207,12.173850383356392,7.323964575317538,1.059777750479529,3.6166408964742986,5.185131223370145,9.861549870323973,1.6129965356764808,3.854142111177789,9.592279191139264,11.81460543187159,9.712780173011174,9.083136545764999,9.878820952967823,52.65637148155327,18.95316548135675,20.874584015683155,4.185742147637401,3.4145821117497586,28.06218066072,1.0697540322,4.952114531667408,10.01632445895097,30.828040326197726,3.8001621296935797,1.622879059884471,7.396065827520974,-6.610460806128966
2001-04-30,6.608748209067883,6.747291565193024,2.99262025110749,6.224616791878477,14.093758865642789,16.142424164474566,10.200659485551807,13.105945936576413,11.491054885816123,9.205804353021996,0.2940112784916005,1.4963034284012335,1.5164160628958063,3.3067307697886403,1.037736262321811,1.970844937742055,10.46724636992032,8.867147627953058,9.007032023719363,10.043851679847158,10.496756047961561,49.56403420724456,17.10969962054034,19.633922095134757,1.6853911511906954,0.688120422931028,29.29663757688,1.3972676418,5.643319204311718,9.776406749880291,28.769218640973218,1.1867557870608616,2.164524440396707,8.439946569810429,3.376963649967089
2001-05-31,8.592117294454972,9.638191830257838,4.086909349592448,6.743988630904271,26.97478763482981,35.891031578926615,19.609444483582493,26.10842334284066,25.876829433844748,18.17979786468493,0.009685589686629383,0.7120720207467879,0.10565949648557603,0.8274171069189933,0.38901998914573455,2.082890466083137,0.3006547701775609,1.5754756772483,0.6279134244311512,0.44015825588995844,0.23768615855291175,42.14860058085542,11.446707873644627,17.71825781144136,0.21799705357519897,0.022348198612075133,29.414795093040002,1.55042145252,7.2653017763023815,0.6363776572599764,23.7711887553138,0.12017262609363705,4.777551615279839,12.184498979198068,-7.1520872439914545
2001-06-30,6.477154479903189,6.7451455849281725,2.0687663915562173,4.459396438603896,29.673923313942534,38.228204576689905,19.599502553245586,25.987886276927682,18.269098808997846,20.21947087095085,0.0022065344008270586,0.34086846189745335,0.0015386285281630812,0.3446136248264435,0.021408837253978543,0.15046821945022745,1.2087496333615697,1.2370264640824225,1.3161407052798755,1.1168416493927427,1.1220394027494993,30.41338822679589,7.2642667549977125,14.316139111858378,0.0006954430908437358,0.0013167828437788752,25.82021728056,2.113783839,4.937615723747869,1.200159570973222,17.33126469788399,0.0010061129673113055,5.732882321980529,9.99632184134769,-0.756277726338332
2001-07-31,4.89268083835044,4.78987587464545,3.4414372472008807,2.184713708576126,31.924794371984703,37.37961345556603,20.565703844401114,26.627903162472776,27.605164347072357,20.767808729850174,0.0007465376358808636,0.2560684149611929,0.0005381685729391255,0.2573531211700129,0.014157356681986763,0.052796145668015694,0.8550436155415372,0.7266609088686575,0.8144508941849223,0.7437682813529942,0.7178898351401101,25.00190750504271,5.405677244142934,13.045860333829204,0.0,0.002774573041994667,22.333133549639996,1.05705288864,3.827176917193224,0.7715627070176443,14.484481694338283,0.0013872865209973335,6.122759055054536,9.274072765191676,-3.2260773859020038
2001-08-31,2.731331948281879,2.3928082373699997,2.23240538809846,0.8223463849811327,31.130411820566724,37.96597861796891,19.8538361560033,26.699100820773726,26.507775459591432,19.98691762047016,3.3131618492936017e-05,0.1995094531431724,0.0002663718017691287,0.19980895656343448,0.003404127799334755,0.0,0.03391261272888127,0.5024743460107778,0.11673034456066013,0.11627628048308333,0.04634806276309216,20.859009796155338,4.383215684261045,11.91270275950346,0.0,0.004167934282523827,19.98522040488,0.8549188206,2.044722989682868,0.16314832930929893,12.38497607997328,0.0020839671412619136,5.966563787776175,7.174521944231822,-3.419570357017788
2001-09-30,1.8692543852871009,1.55395529051219,2.303940550652386,1.8593473228057098,23.89590635896168,28.81648381353446,14.656778793345346,20.271335626229387,21.079950689200892,14.640514747973473,0.0071149962309217055,0.16119160912979608,0.002704766664071806,0.17101137202478958,0.057726755230074304,0.10629266611501174,1.5549768747973018,2.246619473475811,1.341362166478446,1.4495203161334613,1.4135782762763316,18.552766492884047,3.710637547804713,11.052774589851115,0.0,0.005230211010193114,18.910111836,0.9757690236,1.8966243873143467,1.6012114214322704,11.105392876846624,0.002615105505096557,4.241646350339681,5.5775703172750255,-2.5979672857999327
2001-10-31,1.2487789233921784,1.2583587404079113,1.4494630937322919,2.5341505512512255,17.456401311315393,22.17855008557597,10.61213055224906,15.641810825501473,10.814804824870349,9.659578718831638,0.025111096880993323,0.14628324255367633,0.007297606547506744,0.17869194598217641,0.13845886119974724,0.1724179832832,3.5370216631424714,4.448540959229948,3.0601539953796824,3.16291606149762,3.7618854468525234,19.0805405066308,3.264432132334532,11.34408568342646,0.0037289609273466165,0.006559596602251047,17.81897912844,1.19554308912,1.6226878271959018,3.5941036252204492,11.229686107463928,0.005144278764798831,2.4890407533541,3.7391413435379643,-0.3762705037545221
