,runoff,soil_moisture,prism,chirps,persiann,trmm,daymet,modis,gmet_eto,gmet_etr,fldas,terraclimate,p_mean,et_mean,q_in,q_out,res_s,s,ds
2005-01-31,7.531187601833663,7.7511919733097425,5.529803390361416,5.839661752076131,7.65471980477972,6.485885958476696,6.412966408031777,1.3623065485910337,1.4594914969693378,1.9428608822753641,1.1030547052230848,1.2726354165784093,6.384607462745149,1.428069809927446,1.0598807650535425,0.9816650579999999,1.42761865068,5631.527187804742,10.382463128335889
2005-02-28,5.5346431874831055,7.912306664439166,3.5621012204297315,4.621981716724538,5.435240892584496,4.538207668130769,4.567786547094048,2.055359057016471,2.430518837558873,3.2074502486727434,1.7369725847323774,2.116396252235094,4.5450636089927166,2.3093393960431117,1.137613406646989,0.9262139645999999,1.539968943,5633.162218882979,7.708301859030276
2005-03-31,7.824104293339859,7.3493120679719155,3.8990579298731767,4.930188531330414,5.68924718909285,4.894316204291446,4.864434029030379,2.8484564381583564,4.485495745481901,5.845893851752685,2.5700646503480002,3.59341389915638,4.8554487767236525,3.8686649169794642,2.189677962871297,1.40755239804,1.7815941067200003,5635.044714943802,9.914383150662594
2005-04-30,2.986769821117741,5.8586664833517945,1.6229093389495377,2.036410276955211,2.4460478302354156,2.0567072556561183,1.892767070586074,2.3114055008725836,6.191520428355346,8.032472148666786,3.2538374910654273,3.3479421042013375,2.0109683544764714,4.627435534632296,2.0691081782055933,2.93287746648,2.02216957896,5636.211214511866,0.7566034650676314
2005-05-31,5.239660749277869,4.340460402472759,2.4842885764519362,2.1052474248560262,3.5956973955044873,3.388000204984064,3.507678638668609,3.14440793114865,8.620653986659304,11.113103407296542,3.02471583446351,3.264493315493246,3.016182448093024,5.833474895012251,4.715541911671603,1.9116658062,2.32625570292,5637.036551612264,6.44036436474928
2005-06-30,1.2011790922571297,2.989947908136559,0.6005387353316984,0.2523252214858789,0.8712349511587587,0.7704355409845115,0.7724387958046076,2.6416475263104506,10.018014068082055,13.136789837248063,2.239869310184565,1.8410218909944978,0.6533946489530911,5.975468526563927,3.1565849243904003,2.95550689056,2.29394469432,5636.773976703776,-2.5369932485871054
2005-07-31,0.06439115181276864,2.050291577907401,0.001143329142277117,0.0533807117535465,0.02731095119660017,0.004893187716132448,3.96874368e-05,1.4708638195651766,12.68655321399899,16.966548058690254,1.7687215921336255,0.9459260211300393,0.017353573449071246,6.767722541103618,2.3115353781279757,2.2300578312,2.02820869704,5635.858063267422,-5.399107941404644
2005-08-31,0.02031393913675295,1.5914228850033445,0.015712326881259217,0.09658760034563653,0.07762115214218736,0.029790400441659495,0.0106019407246549,1.3728485130320316,11.534497230118875,15.939998615755464,1.0411909001562871,0.5126938191161224,0.04606268410707949,6.080245815635756,1.6448717469404162,3.9265738883999997,1.6850570280000001,5634.711421349375,-7.4935509719074505
2005-09-30,0.05017156775454117,1.3184127770350935,0.11390841243737496,0.3342128150377618,0.29572793545372617,0.14161440381314513,0.1427886082219858,1.4151843964317619,7.8416105079141065,10.894170634340904,0.5326089365613331,0.41909860753729256,0.20565043499279873,4.22053461655708,1.1713891583149056,2.44041057648,1.48891273884,5633.337415591075,-4.764579634846583
2005-10-31,0.11636402828549015,1.1404480041289289,0.4828427228758705,0.806871127105212,0.8690131613668282,0.5920862347898681,0.6537789969452201,0.9278166739309428,5.36173995230131,7.731899459978039,0.4420871830513036,0.7904464579945413,0.6809184486165998,3.0507979454512273,0.9526361343086592,1.63013139708,1.35063346344,5633.588927530644,-2.614766683014313
