,cri,gfz,jpl,mas,csr,grace_median,gldas_sm,tc_sm,gldas_swe,fldas_swe,res_ts,swe,sm,grace,t,adj
2003-01-31,20.974964469995616,44.738072956077424,2.862573502240316,17.40079708266607,3.6240266144329025,17.40079708266607,2.253404506211097,12.929690138876,0.12047736844522472,0.1956473056565059,26.36832768684,0.1580623370508653,7.591547322543548,,,
2003-02-28,5.263076460916533,29.32239506696346,16.67542401530346,4.041851453620448,23.966048996602005,16.67542401530346,3.1146026322754055,12.77607898513222,0.14441808165563652,0.3070018945580963,29.7737155704,0.2257099881068664,7.945340808703812,12.848594994527197,12.848594994527197,12.848594994527197
2003-03-31,8.170356194361556,18.02358886519689,12.84268341162942,6.7179092286325695,14.507859391456321,12.84268341162942,3.1902551067993943,13.12568350640089,0.060217494516228286,0.20821896071751583,30.98917812804,0.13421822761687205,8.157969306600142,11.506084116583086,11.506084116583086,11.506084116583086
2003-04-30,8.584773186466576,9.334481010007254,14.47295563561589,6.818880236801625,19.442988096073325,9.334481010007254,3.1998274083756684,12.245114828207484,0.03818430379506995,0.18561357811116372,33.9125775342,0.11189894095311684,7.722471118291576,6.868899078819577,6.868899078819577,6.868899078819577
2003-05-31,,13.140678296816773,2.8063024004328616,,14.245609684054859,,3.2963840442104826,12.081522691788146,0.033005413062216375,0.1583709588231308,36.51020253756,0.09568818594267359,7.688953367999314,,-1.0399633523774794,0.028147542155962935
2003-06-30,-6.96350491826792,,,-5.826967298148026,,,3.0638860316914407,8.863574209713041,0.010333693102290802,0.10406696715478468,38.77532203776,0.057200330128537744,5.963730120702241,,-8.948825783574536,-8.143531814708659
2003-07-31,-19.927174311705087,-22.778530062359053,-14.902450075690469,-17.168351568689484,-23.154091593366687,-19.927174311705087,2.2651638815295048,5.341042796998349,2.0777391906439763e-05,0.008247967714805113,37.91952867984,0.004134372553355776,3.803103339263927,-16.857688214771592,-16.857688214771592,-16.857688214771592
2003-08-31,-33.141243681376935,-33.37475138735077,-29.879127632364987,-28.813616470491105,-21.36858667427244,-29.879127632364987,1.6772222735472997,3.6097033648399104,2.5293993809216004e-06,0.00026543437389019544,33.1923485622,0.00013398188663555851,2.643462819193605,-23.988306603987947,-23.988306603987947,-23.988306603987947
2003-09-30,-27.57239673442974,-24.729441135828186,-35.715572533171844,-24.254191216987024,-33.22732341121714,-27.57239673442974,1.4169247730067422,2.803562217258545,1.519336499779148e-06,0.0,29.8535402286,7.59668249889574e-07,2.1102434951326434,-23.700235854550392,-23.700235854550392,-23.700235854550392
2003-10-31,-33.29966752260926,-36.72518713739421,-45.73381520593684,-29.027885370509022,-44.293102252121635,-36.72518713739421,1.2687448785694242,2.308421531292295,1.7590296530816038e-05,2.5913659801801244e-07,28.2047475126,8.924716564417025e-06,1.7885832049308596,-34.754742296240735,-34.754742296240735,-34.754742296240735
