,gldas_ssr,gldas_bfr,gldas_qsm,gldas,fldas_r,tc_r,p_prism,p_chirps,p_persiann,p_trmm,p_daymet,gldas_sm,tc_sm,gldas_m,fldas_aet,gldas_aet,modis_aet,tc_aet,nldas_etr,gldas_etr,gmet_eto,gmet_etr,modis_pet,tc_pet,et_multiplier,storage_km3,q_out,q_in,aet_mean,pet_mean,p_mean,sm_mean,r_mean,r_eff,et_eff,c2vsim,cv_ds
2001-01-31,0.09695545785041165,0.24947041589345248,0.19644093017175362,0.5428668039156177,0.26538155070142866,0.3454129421091138,4.788212855297898,5.297170632472344,6.027627089717724,5.384697607302884,5.453687145021188,12.629757367272056,3.8878534064320753,6.341667239659293,0.4481178253909874,0.29042525027133087,0.5963338109458071,0.5883863547940142,0.8574034392488081,0.6350558796617427,0.4560218684338681,0.6647856408996667,1.159650720013847,0.34281575051567176,0.5805560669234872,1.26727488504,0.9259512333600001,0.7584354341342209,0.4808158103505349,0.6558184949657634,5.390279065962408,7.619759337787808,0.4780241827150953,0.7616697720604684,1.1366343053162984,0.22698575808863097,
2001-02-28,0.23412852801650075,0.6676625950587995,0.35610446537897056,1.2578955884542709,0.4020251599804848,0.8525686148718433,5.3457686989424795,5.36903017504139,6.930082183313371,6.468070703217501,6.118365543802004,14.08555174839158,5.788100273507389,6.548250708371329,0.6165934013368712,0.4615315512156677,0.5395175724618291,0.7453728321716705,1.0356500240810358,0.775998349098405,0.6522756011499018,0.9121426960097495,0.7669859935880476,0.46342818604201313,0.611898138446928,1.3605777791999998,0.9341551088400001,0.910203385042944,0.5907538392965096,0.698708119197428,6.046263460863349,8.807300910090099,0.8556731870873857,2.2650251737393035,1.2894619584939377,0.8476267890237068,4.30767849919745
2001-03-31,0.21840826438198455,1.5355880878070713,0.3140154745523398,2.0680118267413956,0.33086805350293685,0.23723854732348237,2.5622961090298793,3.7753985234983736,3.6009608146405214,2.7431043044638823,2.943380640352909,17.68422288195742,5.02968933971928,8.135812205551684,1.1128333386821614,1.1006665379532252,0.8737130812857727,0.9040039613994164,2.0477175736880198,1.9049685215251162,1.3780413015874677,1.8123643531607008,1.5866402892001197,1.0075423201454006,0.6413157444469975,1.51198374876,1.0697540322,1.073602410354893,0.9978042298301439,1.4461470660234221,3.1250280783971127,10.283241475742795,0.9274302094806769,4.182132629578738,2.443951295853566,0.9699491291885352,-0.014991165033579446
2001-04-30,0.1096566442648988,0.5188229560037283,0.060834124772152574,0.6893137250407796,0.18908668109444943,0.1937456944308706,1.9185178711378814,2.1588515012589884,2.87167933813901,2.5189219206900972,2.195552621647804,15.470182717937242,4.1743380073351535,7.297340053311668,1.0387382740830096,1.2821448773122686,0.6449702046944881,0.9906319048246213,2.8185142287834326,2.938608212516352,1.8438024610084567,2.4004203314015977,1.5595464189383332,1.4262549897320715,0.7060725476896347,1.69003288632,1.3972676418,1.069571585912832,0.9891213152285967,1.8075060502701148,2.3327046505747564,8.98062025952802,0.535429421619733,1.5696745683311022,2.7966273654987113,0.5418214806395554,0.8683827294633844
2001-05-31,0.0005266861986218836,0.23023521175908784,0.003277350576017013,0.23403924853372676,0.006848753669828133,0.02097797690227451,0.01190182428118426,0.341524971455047,0.142942241743832,0.04771305529044367,0.01335340358247157,12.6460238197429,2.7613785094413057,6.5449017173481625,0.9582612641294386,1.4282462082270853,0.719442804829164,0.37341480278377415,5.853068890047652,6.6148170700180975,4.0752928600240095,5.564744267191527,3.6891002702544666,2.868286334143284,0.8208978041460654,1.73820028032,1.55042145252,1.344885453412762,0.8698412699923654,4.049355932903321,0.1114870992705957,7.317434682177456,0.40168785812964786,0.6980879959196402,4.9191972028956865,-0.23240538298978208,-2.9965400612521167
2001-06-30,0.0006467053077639302,0.1153718844265136,0.00023911306554025256,0.11625770279981779,0.001748673126668565,0.011075361767905884,0.18697811511951282,0.24511168829927787,0.35206832794132903,0.2225751113095969,0.24034159101364033,9.151803949150633,1.9814851149233699,5.464272728095437,0.507904840929572,0.7909856419026978,0.32773206895957335,0.23960773156864001,7.7069303356692584,8.321769409175124,4.873423312059681,6.655147261600721,3.0873207014416857,3.7527029119367095,0.9756080846144151,1.49301282636,2.113783839,1.5257151264503808,0.4665575708401208,4.5921485467597,0.2494149667366714,5.532520597389813,0.41369921603619325,-0.24153565552597675,5.0587061175998205,-1.4689662467862945,-2.953559108628932
2001-07-31,8.38306771705594e-05,0.08757717566357452,7.055514506908872e-05,0.08773156148581418,0.00020254972525992335,0.0010973646285803921,0.03436830133779358,0.06725629006359496,0.09988181147834219,0.04672117394039704,0.042225522224100386,7.762948257521673,1.5566416340321383,5.167175616557414,0.3110872999265721,0.4368506802056403,0.6526766437970322,0.11479546036746041,8.326639613100077,8.13774140953004,5.073583446435342,6.7413378291475965,4.646076971634587,3.8111750604795738,1.0168792527597144,1.2093259946400001,1.05705288864,1.6622091558254597,0.3788525210741762,5.068043326924275,0.05809061980884563,4.828921836037075,0.43781015791627853,-0.3297079500762734,5.446895847998451,-1.264223778342057,-3.3585532100151294
2001-08-31,7.794512352488071e-06,0.0702586383680589,8.727919049080067e-05,0.07035371207090219,4.681425736298153e-05,0.0,2.705515847462015e-06,0.08663848847926699,0.023645585215622867,0.006097128269032167,0.0013554612648000004,6.778315297097483,1.3010981286650982,4.882216009222967,0.17174176096716548,0.2170245197305961,0.4222114092212706,0.07056861714512314,7.972747537689608,8.188985677835786,4.841477254849141,6.609293179309837,4.530586989128169,3.656292087844511,1.0313834597469165,1.09249693644,0.8549188206,1.2595530022410242,0.22038657676603884,4.909412377782915,0.023547873748913897,4.320543144995183,0.33248838214232235,-0.2647506873547326,5.129798954548954,-1.8126734247998684,-3.7439207677747994
2001-09-30,0.0024899999699433606,0.058098291690921094,0.00045039533326958904,0.06103868699413405,0.010866975054484395,0.014898345172831375,0.24852659328823154,0.48457953435974177,0.2822842867830482,0.24765184838057036,0.27110583267173494,6.1671785581795,1.1229496335705351,4.59990093810638,0.12018766760739377,0.13829078051672097,0.3894486703903122,0.1277813031004361,5.597960398296971,5.903842405513262,3.3705860500196603,4.692181514134198,3.39038653124785,2.4949212028261445,0.9511324557892792,0.94318418244,0.9757690236,0.8713213450242049,0.19392710540371577,3.487018824556963,0.30682961909666534,3.9633430432854717,0.2395313380614137,-0.12785440693812183,3.680945929960679,-2.179971428746285,-2.7325197956686837
2001-10-31,0.009767781777330103,0.05443494190858109,0.0007008146269999828,0.06490353831291118,0.04308741763778864,0.041772854259952946,0.636117332611657,1.2571003449086822,0.9313779306253154,0.7837153711987684,0.8430076196559115,6.362005882410138,0.9978146305795013,4.729979761361136,0.10608375948395043,0.12690156131361335,0.24088598144742904,0.23667109613246748,3.3879322909928216,3.791040562140988,1.9624870297867947,2.870579212785036,1.600867634701882,1.3213377897170784,0.7826578890883579,0.8294388242399999,1.19554308912,0.6858098637944832,0.1776355995943651,1.9388179167476978,0.8902637198000669,4.029933424783592,0.20889341850128398,-0.045703821679576095,2.116453516342063,-2.1055114029159085,-1.4798746266643488
